FID,FBILLNO,FBILLNAME,FSIGNALLAMOUNT,FBIZTIME,FPARTAID,FPARTANAME,FPATYPE,FPARTBID,FPARTBNAME,FPBTYPE,FPARTCID,FPARTCNAME,FPCTYPE,FPARTDID,FPARTDNAME,FPDTYPE,FBILLSTATUS,FCONTSTATUS,FDESCRIPTION
17,HT2024000017,远洋地产与工程保险代理合作合同,3770394.00,2025-08-12,21,远洋地产,bd_customer,9,工程保险代理,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
18,HT2024000018,中南置地与中建设计研究院合作合同,34216238.00,2024-11-15,17,中南置地,bd_customer,1,中建设计研究院,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
19,HT2024000019,中铁华东工程公司与金鼎建筑器材合作合同,35121400.00,2025-07-29,13,中铁华东工程公司,bos_org,25,金鼎建筑器材,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
20,HT2024000020,中石油华南销售公司与博达工程机械合作合同,47746694.00,2025-10-25,11,中石油华南销售公司,bos_org,8,博达工程机械,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
21,HT2024000021,雅居乐地产与建筑安全评估合作合同,28839916.00,2024-11-30,26,雅居乐地产,bd_customer,5,建筑安全评估,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
22,HT2024000022,中建华南分公司与工程保险代理合作合同,20484426.00,2025-03-28,3,中建华南分公司,bos_org,9,工程保险代理,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
23,HT2024000023,中南置地与恒泰机电设备合作合同,8486756.00,2024-12-21,17,中南置地,bd_customer,12,恒泰机电设备,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
24,HT2024000024,中交华南建设公司与宏图机械设备合作合同,31990947.00,2025-06-05,17,中交华南建设公司,bos_org,5,宏图机械设备,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
25,HT2024000025,金地集团与恒大地产集团合作合同,41504682.00,2025-04-24,11,金地集团,bd_customer,4,恒大地产集团,bd_customer,,,,,,,C,COMPLETED,常规业务合同
26,HT2024000026,招商蛇口与博瑞工程设备合作合同,23930751.00,2025-07-25,12,招商蛇口,bd_customer,28,博瑞工程设备,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
27,HT2024000027,富力地产与远大建筑材料合作合同,46043614.00,2025-10-24,25,富力地产,bd_customer,17,远大建筑材料,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
28,HT2024000028,中石油华东销售公司与建筑法律咨询合作合同,6848549.00,2025-04-20,10,中石油华东销售公司,bos_org,8,建筑法律咨询,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
29,HT2024000029,阳光城集团与恒信机械设备合作合同,6125396.00,2025-01-23,15,阳光城集团,bd_customer,30,恒信机械设备,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
30,HT2024000030,中国铁路工程集团与建筑安全评估合作合同,12211274.00,2025-05-26,12,中国铁路工程集团,bos_org,5,建筑安全评估,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
31,HT2024000031,中央建设集团有限公司与东方钢铁集团合作合同,12379715.00,2025-05-24,1,中央建设集团有限公司,bos_org,2,东方钢铁集团,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
32,HT2024000032,国家电网集团公司与中南置地合作合同,47856538.00,2025-07-14,5,国家电网集团公司,bos_org,17,中南置地,bd_customer,,,,,,,C,EXECUTING,常规业务合同
33,HT2024000033,新城控股与中南置地合作合同,20733034.00,2025-02-09,14,新城控股,bd_customer,17,中南置地,bd_customer,,,,,,,C,EXECUTING,常规业务合同
34,HT2024000034,中国石油天然气集团与恒大地产集团合作合同,42285448.00,2025-07-17,9,中国石油天然气集团,bos_org,4,恒大地产集团,bd_customer,,,,,,,C,COMPLETED,常规业务合同
35,HT2024000035,佳兆业集团与工程保险代理合作合同,6959933.00,2025-03-01,20,佳兆业集团,bd_customer,9,工程保险代理,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
36,HT2024000036,中能华南建设公司与建筑质量检测中心合作合同,34589155.00,2024-12-16,20,中能华南建设公司,bos_org,3,建筑质量检测中心,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
37,HT2024000037,雅居乐地产与鑫达建筑材料合作合同,46083156.00,2025-09-17,26,雅居乐地产,bd_customer,29,鑫达建筑材料,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
38,HT2024000038,华夏幸福基业与建筑金融服务合作合同,3365261.00,2025-09-26,13,华夏幸福基业,bd_customer,10,建筑金融服务,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
39,HT2024000039,碧桂园地产与金鼎建筑器材合作合同,17447124.00,2025-02-15,3,碧桂园地产,bd_customer,25,金鼎建筑器材,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
40,HT2024000040,花样年控股与建筑金融服务合作合同,38276702.00,2025-06-16,29,花样年控股,bd_customer,10,建筑金融服务,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
41,HT2024000041,远洋地产与中天建筑材料合作合同,37054676.00,2025-06-02,21,远洋地产,bd_customer,11,中天建筑材料,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
42,HT2024000042,花样年控股与锦绣建筑材料合作合同,13245858.00,2024-12-16,29,花样年控股,bd_customer,21,锦绣建筑材料,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
43,HT2024000043,国网华中电力公司与兴业钢铁贸易合作合同,15666248.00,2025-09-05,7,国网华中电力公司,bos_org,18,兴业钢铁贸易,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
44,HT2024000044,中央建设集团有限公司与恒大地产集团合作合同,31870131.00,2025-11-05,1,中央建设集团有限公司,bos_org,4,恒大地产集团,bd_customer,,,,,,,C,COMPLETED,常规业务合同
45,HT2024000045,中能华东建设公司与金科地产合作合同,13750999.00,2025-06-05,19,中能华东建设公司,bos_org,22,金科地产,bd_customer,,,,,,,C,COMPLETED,常规业务合同
46,HT2024000046,中国石油天然气集团与环境影响评价合作合同,48526266.00,2025-07-25,9,中国石油天然气集团,bos_org,6,环境影响评价,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
47,HT2024000047,融创中国地产与合景泰富合作合同,16328447.00,2024-12-11,5,融创中国地产,bd_customer,27,合景泰富,bd_customer,,,,,,,C,COMPLETED,常规业务合同
48,HT2024000048,华润置地发展与佳兆业集团合作合同,30967638.00,2025-01-11,1,华润置地发展,bd_customer,20,佳兆业集团,bd_customer,,,,,,,C,COMPLETED,常规业务合同
49,HT2024000049,恒大地产集团与奥园集团合作合同,42505660.00,2025-06-29,4,恒大地产集团,bd_customer,28,奥园集团,bd_customer,,,,,,,C,EXECUTING,常规业务合同
50,HT2024000050,中交华南建设公司与鑫达建筑材料合作合同,33616243.00,2025-02-03,17,中交华南建设公司,bos_org,29,鑫达建筑材料,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
51,HT2024000051,保利发展控股与天宇建材供应合作合同,33948180.00,2025-09-21,6,保利发展控股,bd_customer,27,天宇建材供应,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
52,HT2024000052,中交华南建设公司与禹洲集团合作合同,31561745.00,2025-02-09,17,中交华南建设公司,bos_org,19,禹洲集团,bd_customer,,,,,,,C,EXECUTING,常规业务合同
53,HT2024000053,中能华东建设公司与盛达水泥制造合作合同,40623106.00,2025-03-19,19,中能华东建设公司,bos_org,3,盛达水泥制造,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
54,HT2024000054,世茂房地产与花样年控股合作合同,11896077.00,2024-11-25,10,世茂房地产,bd_customer,29,花样年控股,bd_customer,,,,,,,C,EXECUTING,常规业务合同
55,HT2024000055,中铁华东工程公司与当代置业合作合同,45118611.00,2025-06-28,13,中铁华东工程公司,bos_org,30,当代置业,bd_customer,,,,,,,C,COMPLETED,常规业务合同
56,HT2024000056,碧桂园地产与华信建材有限公司合作合同,47915328.00,2025-07-20,3,碧桂园地产,bd_customer,1,华信建材有限公司,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
57,HT2024000057,国网华中电力公司与中建设计研究院合作合同,36978712.00,2025-08-16,7,国网华中电力公司,bos_org,1,中建设计研究院,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
58,HT2024000058,奥园集团与荣盛发展合作合同,8873829.00,2025-05-25,28,奥园集团,bd_customer,23,荣盛发展,bd_customer,,,,,,,C,COMPLETED,常规业务合同
59,HT2024000059,泰禾集团与宏图机械设备合作合同,19752730.00,2024-12-06,24,泰禾集团,bd_customer,5,宏图机械设备,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
60,HT2024000060,中能华东建设公司与金地集团合作合同,15098380.00,2025-09-11,19,中能华东建设公司,bos_org,11,金地集团,bd_customer,,,,,,,C,EXECUTING,常规业务合同
61,HT2024000061,碧桂园地产与华美电气设备合作合同,23578613.00,2025-01-31,3,碧桂园地产,bd_customer,24,华美电气设备,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
62,HT2024000062,中央建设集团有限公司与中建设计研究院合作合同,46151121.00,2025-03-25,1,中央建设集团有限公司,bos_org,1,中建设计研究院,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
63,HT2024000063,金地集团与鑫达建筑材料合作合同,2210275.00,2025-06-30,11,金地集团,bd_customer,29,鑫达建筑材料,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
64,HT2024000064,中交华南建设公司与建筑安全评估合作合同,30612164.00,2025-01-04,17,中交华南建设公司,bos_org,5,建筑安全评估,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
65,HT2024000065,国网华北电力公司与建筑安全评估合作合同,26316877.00,2025-05-14,6,国网华北电力公司,bos_org,5,建筑安全评估,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
66,HT2024000066,国网华北电力公司与工程测绘服务合作合同,6642117.00,2025-05-19,6,国网华北电力公司,bos_org,7,工程测绘服务,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
67,HT2024000067,保利发展控股与佳兆业集团合作合同,28056437.00,2024-12-12,6,保利发展控股,bd_customer,20,佳兆业集团,bd_customer,,,,,,,C,EXECUTING,常规业务合同
68,HT2024000068,中央建设集团有限公司与工程保险代理合作合同,8077355.00,2025-05-24,1,中央建设集团有限公司,bos_org,9,工程保险代理,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
69,HT2024000069,正荣地产与中建设计研究院合作合同,27556163.00,2025-08-23,18,正荣地产,bd_customer,1,中建设计研究院,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
70,HT2024000070,中国铁路工程集团与荣盛发展合作合同,7016580.00,2025-03-19,12,中国铁路工程集团,bos_org,23,荣盛发展,bd_customer,,,,,,,C,EXECUTING,常规业务合同
71,HT2024000071,荣盛发展与华信建材有限公司合作合同,42405980.00,2025-09-05,23,荣盛发展,bd_customer,1,华信建材有限公司,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
72,HT2024000072,碧桂园地产与当代置业合作合同,44650278.00,2025-05-24,3,碧桂园地产,bd_customer,30,当代置业,bd_customer,,,,,,,C,COMPLETED,常规业务合同
73,HT2024000073,中国石油天然气集团与工程测绘服务合作合同,40351400.00,2025-06-11,9,中国石油天然气集团,bos_org,7,工程测绘服务,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
74,HT2024000074,中建西部分公司与建筑安全评估合作合同,6905221.00,2025-04-26,4,中建西部分公司,bos_org,5,建筑安全评估,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
75,HT2024000075,泰禾集团与盛世建材集团合作合同,45922344.00,2025-03-06,24,泰禾集团,bd_customer,23,盛世建材集团,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
76,HT2024000076,富力地产与阳光城集团合作合同,21601136.00,2025-01-17,25,富力地产,bd_customer,15,阳光城集团,bd_customer,,,,,,,C,EXECUTING,常规业务合同
77,HT2024000077,国网华北电力公司与华东工程监理合作合同,14580304.00,2025-04-04,6,国网华北电力公司,bos_org,2,华东工程监理,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
78,HT2024000078,合景泰富与建筑法律咨询合作合同,47359595.00,2025-09-02,27,合景泰富,bd_customer,8,建筑法律咨询,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
79,HT2024000079,中央建设集团有限公司与博瑞工程设备合作合同,30484412.00,2025-09-16,1,中央建设集团有限公司,bos_org,28,博瑞工程设备,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
80,HT2024000080,中国铁路工程集团与远大建筑材料合作合同,35772805.00,2025-04-16,12,中国铁路工程集团,bos_org,17,远大建筑材料,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
81,HT2024000081,中南置地与建筑金融服务合作合同,17744102.00,2025-07-10,17,中南置地,bd_customer,10,建筑金融服务,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
82,HT2024000082,国网华北电力公司与天宇建材供应合作合同,18599835.00,2025-10-02,6,国网华北电力公司,bos_org,27,天宇建材供应,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
83,HT2024000083,奥园集团与合景泰富合作合同,28097905.00,2025-09-16,28,奥园集团,bd_customer,27,合景泰富,bd_customer,,,,,,,C,COMPLETED,常规业务合同
84,HT2024000084,华润置地发展与荣盛发展合作合同,2907251.00,2025-06-23,1,华润置地发展,bd_customer,23,荣盛发展,bd_customer,,,,,,,C,COMPLETED,常规业务合同
85,HT2024000085,中国铁路工程集团与瑞祥机电设备合作合同,43059321.00,2025-09-07,12,中国铁路工程集团,bos_org,26,瑞祥机电设备,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
86,HT2024000086,阳光城集团与工程保险代理合作合同,31303099.00,2025-02-07,15,阳光城集团,bd_customer,9,工程保险代理,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
87,HT2024000087,荣盛发展与建筑安全评估合作合同,12882357.00,2025-07-30,23,荣盛发展,bd_customer,5,建筑安全评估,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
88,HT2024000088,中南置地与金科地产合作合同,39816333.00,2024-12-31,17,中南置地,bd_customer,22,金科地产,bd_customer,,,,,,,C,EXECUTING,常规业务合同
89,HT2024000089,碧桂园地产与花样年控股合作合同,31576707.00,2025-08-08,3,碧桂园地产,bd_customer,29,花样年控股,bd_customer,,,,,,,C,COMPLETED,常规业务合同
90,HT2024000090,当代置业与雅居乐地产合作合同,38649992.00,2025-06-27,30,当代置业,bd_customer,26,雅居乐地产,bd_customer,,,,,,,C,EXECUTING,常规业务合同
91,HT2024000091,中建华东分公司与工程造价咨询合作合同,13047051.00,2024-11-25,2,中建华东分公司,bos_org,4,工程造价咨询,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
92,HT2024000092,中铁华南工程公司与建筑金融服务合作合同,14833173.00,2025-06-01,14,中铁华南工程公司,bos_org,10,建筑金融服务,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
93,HT2024000093,中建华东分公司与工程测绘服务合作合同,8092959.00,2025-01-13,2,中建华东分公司,bos_org,7,工程测绘服务,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
94,HT2024000094,中能华南建设公司与兴业钢铁贸易合作合同,11775682.00,2025-09-17,20,中能华南建设公司,bos_org,18,兴业钢铁贸易,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
95,HT2024000095,富力地产与华夏幸福基业合作合同,47538615.00,2025-02-28,25,富力地产,bd_customer,13,华夏幸福基业,bd_customer,,,,,,,C,COMPLETED,常规业务合同
96,HT2024000096,合景泰富与工程造价咨询合作合同,8188715.00,2025-05-15,27,合景泰富,bd_customer,4,工程造价咨询,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
97,HT2024000097,招商蛇口与工程测绘服务合作合同,15703900.00,2025-06-13,12,招商蛇口,bd_customer,7,工程测绘服务,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
98,HT2024000098,中石油华南销售公司与中建设计研究院合作合同,27374484.00,2025-05-10,11,中石油华南销售公司,bos_org,1,中建设计研究院,mscon_counterpart,,,,,,,C,EXECUTING,常规业务合同
99,HT2024000099,当代置业与腾飞机械设备合作合同,47283599.00,2025-08-10,30,当代置业,bd_customer,22,腾飞机械设备,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
100,HT2024000100,中石油华南销售公司与工程保险代理合作合同,42685344.00,2025-04-13,11,中石油华南销售公司,bos_org,9,工程保险代理,mscon_counterpart,,,,,,,C,COMPLETED,常规业务合同
