edge_id,edge_type,from_node,to_node,from_type,to_type,position,tenure_start
EMPLOY_0066,EMPLOYED_BY,USER_066,ORG_006,Person,Company,副董事长,2017-06-13
EMPLOY_0067,EMPLOYED_BY,USER_067,ORG_007,Person,Company,监事,2018-07-20
EMPLOY_0068,EMPLOYED_BY,USER_068,ORG_008,Person,Company,总经理,2019-08-02
EMPLOY_0069,EMPLOYED_BY,USER_069,ORG_009,Person,Company,副总经理,2020-09-09
EMPLOY_0070,EMPLOYED_BY,USER_070,ORG_010,Person,Company,财务总监,2021-10-16
EMPLOY_0071,EMPLOYED_BY,USER_071,ORG_011,Person,Company,法务总监,2022-11-23
EMPLOY_0072,EMPLOYED_BY,USER_072,ORG_012,Person,Company,风控负责人,2023-12-05
EMPLOY_0073,EMPLOYED_BY,USER_073,ORG_013,Person,Company,董事长,2015-01-12
EMPLOY_0074,EMPLOYED_BY,USER_074,ORG_014,Person,Company,副董事长,2016-02-19
EMPLOY_0075,EMPLOYED_BY,USER_075,ORG_015,Person,Company,监事,2017-03-01
EMPLOY_0076,EMPLOYED_BY,USER_076,ORG_016,Person,Company,总经理,2018-04-08
EMPLOY_0077,EMPLOYED_BY,USER_077,ORG_017,Person,Company,副总经理,2019-05-15
EMPLOY_0078,EMPLOYED_BY,USER_078,ORG_018,Person,Company,财务总监,2020-06-22
EMPLOY_0079,EMPLOYED_BY,USER_079,ORG_019,Person,Company,法务总监,2021-07-04
EMPLOY_0080,EMPLOYED_BY,USER_080,ORG_020,Person,Company,风控负责人,2022-08-11
