node_id,node_type,event_type,event_no,event_name,amount,status,register_date,description
ABN_0011,BusinessAbnormal,BusinessAbnormal,219179618,0af0a401f4f31e3ebe80ef10c3791e0e,0.0,C,2024-06-28,included_reason=通过登记的住所或经营场所无法与企业取得联系; included_authority=淄博市张店区市场监督管理局; update_time=2025-07-12 14:06:59
ABN_0012,BusinessAbnormal,BusinessAbnormal,29288532,3643a510ab02472ef9da14b77c8b55a1,0.0,C,2017-07-07,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=上海市工商行政管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=上海市工商行政管理局; removed_date=2017-08-17; update_time=2020-04-14 04:35:43.0
ABN_0013,BusinessAbnormal,BusinessAbnormal,39950638,618229b35f3f5b543f30304fdee809b7,0.0,C,2016-07-05,"included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=河南省市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后
，申请移出; removed_authority=河南省市场监督管理局; removed_date=2016-07-07; update_time=2020-04-14 18:17:37.0"
ABN_0014,BusinessAbnormal,BusinessAbnormal,25230233,34db94919b170a0ef1516356a54167d9,0.0,C,2018-10-23,"included_reason=通过登记的住所或者经营场所无法联系的; included_authority=开封市市场监督管理局自贸区服务中心; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第九条规定被列入经营异常名录的企业，依法办理住所或者经营场所变更登记后，
申请移出; removed_authority=开封市市场监督管理局自贸区服务中心; removed_date=2018-11-15; update_time=2020-07-20 15:42:28.0"
ABN_0015,BusinessAbnormal,BusinessAbnormal,43681981,3643a510ab02472ef9da14b77c8b55a1,0.0,C,2017-07-07,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=北京市工商行政管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=北京市工商行政管理局; removed_date=2017-07-20; update_time=2020-04-14 00:11:09.0
ABN_0016,BusinessAbnormal,BusinessAbnormal,44447311,4b1e988b163c343490be108c1a9f61f0,0.0,C,2018-10-18,included_reason=通过登记的住所或者经营场所无法联系的; included_authority=江苏省市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第九条规定被列入经营异常名录的企业，提出通过登记的住所或者经营场所可以重新取得联系，申请移出; removed_authority=江苏省市场监督管理局; removed_date=2019-12-30; update_time=2022-07-02 09:30:19
ABN_0017,BusinessAbnormal,BusinessAbnormal,313172145,3f8b31da58736c2947ca2b062747b749,0.0,C,2025-10-09,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=北京市丰台区市场监督管理局; update_time=2025-10-14 18:29:59
ABN_0018,BusinessAbnormal,BusinessAbnormal,134464071,bd9e2452043f78a5fd9d0cb09eaacf49,0.0,C,2022-07-01,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=无锡市市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=无锡市市场监督管理局; removed_date=2022-07-15; update_time=2022-08-09 01:21:30
ABN_0019,BusinessAbnormal,BusinessAbnormal,32884013,663949b580025d7575c45fb971ea69f2,0.0,C,2019-09-20,included_reason=通过登记的住所或者经营场所无法联系的; included_authority=天津市河东区市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第九条规定被列入经营异常名录的企业，依法办理住所或者经营场所变更登记后，申请移出; removed_authority=天津市河东区市场监督管理局; removed_date=2019-09-25; update_time=2024-03-13 10:58:51
ABN_0020,BusinessAbnormal,BusinessAbnormal,77390427,df9437c176a36af5c7c4b80ab1bab0e2,0.0,C,2021-07-12,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=北京市市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=北京市市场监督管理局; removed_date=2021-09-02; update_time=2022-01-21 22:03:36.0
ABN_0021,BusinessAbnormal,BusinessAbnormal,5840319,3643a510ab02472ef9da14b77c8b55a1,0.0,C,2017-07-07,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=北京市工商行政管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=北京市工商行政管理局; removed_date=2017-07-31; update_time=2020-04-14 04:12:00.0
ABN_0022,BusinessAbnormal,BusinessAbnormal,218161067,1e44e3212b1828989a5893b4b8848a12,0.0,C,2024-05-22,included_reason=通过登记的住所或者经营场所无法联系的; included_authority=厦门市市场监督管理局; update_time=2025-07-23 04:46:19
ABN_0023,BusinessAbnormal,BusinessAbnormal,1040362,53519c290b633ee04e0f0b9cfd34220f,0.0,C,2015-07-13,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=南京市市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=南京市市场监督管理局; removed_date=2017-04-10; update_time=2020-12-12 16:17:37.0
ABN_0024,BusinessAbnormal,BusinessAbnormal,11003409,2f1b9b96c2fb31d432c56fd944589a2a,0.0,C,2016-07-06,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=南京市市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=南京市市场监督管理局; removed_date=2017-04-10; update_time=2020-12-12 16:17:37.0
ABN_0025,BusinessAbnormal,BusinessAbnormal,67556483,f94fa6319389e9bbff459739636d0524,0.0,C,2020-07-02,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=辽宁省市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=辽宁省市场监督管理局; removed_date=2020-07-22; update_time=2020-07-27 14:05:33.0
