fid,forgid,fbillno,fbillstatus,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,fcontractname,fcontypeid,fprojectid,fbiztime,fbiztimebegin,fbiztimeend,fsettlecurrencyid,ftotalallamount,fuserid,fdeptid,fcomment,fispayrate,fbillcretype,fperformstatus,flastupdateuserid,flastupdatetime,fperformoverview,fistax,fisentrysum,ftotaltaxamount,ftotalamount,fperformfinisherid,fperformfinishtime,fchangerid,fchangedate,fchangestatus,fversion,fsubversion,fsettletypeid,fperformtypeid,finvoicebiztypeid,fmainpartamount,fselfposition,fpatype,fpartaid,fpbtype,fpartbid,fpctype,fpartcid,fpdtype,fpartdid,fpaidpreallamount,fpaidallamount,fsrcsys,fsrcsysbillno,fsrcsysbillid,fsrcbillentity,fsrcbillnumber,fsrcbillid,fmarginrate,fmarginamount,fmarginpaidamount,finvoiceamount,frelatedpayamount,fpayamount,fjoinpayamount,fk_wd57_billno,fk_wd57_settlecurrency,fk_wd57_paidallamount
11,,OUT2024000011,C,,,,,,,,,0,2025-07-30,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,5,,11,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
12,,OUT2024000012,C,,,,,,,,,0,2025-08-18,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,5,,11,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
13,,OUT2024000013,C,,,,,,,,,0,2025-08-08,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,11,,1,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
14,,OUT2024000014,C,,,,,,,,,0,2025-08-28,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,11,,1,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
15,,OUT2024000015,C,,,,,,,,,0,2025-08-20,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,1,,5,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
16,,OUT2024000016,C,,,,,,,,,0,2025-09-08,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,1,,5,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
17,,OUT2024000017,C,,,,,,,,,0,2025-07-12,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,16,,9,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
18,,OUT2024000018,C,,,,,,,,,0,2025-08-10,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,16,,9,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
19,,OUT2024000019,C,,,,,,,,,0,2025-05-18,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,22,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
20,,OUT2024000020,C,,,,,,,,,0,2025-06-12,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,22,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
21,,OUT2024000021,C,,,,,,,,,0,2025-02-28,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,22,,17,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
22,,OUT2024000022,C,,,,,,,,,0,2025-03-22,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,22,,17,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
23,,OUT2024000023,C,,,,,,,,,0,2025-08-08,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,13,,25,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
24,,OUT2024000024,C,,,,,,,,,0,2025-08-30,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,13,,25,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
25,,OUT2024000025,C,,,,,,,,,0,2025-07-20,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,17,,12,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
26,,OUT2024000026,C,,,,,,,,,0,2025-08-15,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,17,,12,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
27,,OUT2024000027,C,,,,,,,,,0,2025-06-25,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,12,,28,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
28,,OUT2024000028,C,,,,,,,,,0,2025-07-20,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,12,,28,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
29,,OUT2024000029,C,,,,,,,,,0,2025-08-30,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,3,,25,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
30,,OUT2024000030,C,,,,,,,,,0,2025-09-22,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,3,,25,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
