fid,forgid,fconttypeid,fbillno,fbillname,fcontstatusid,fbillstatus,fbiztime,fbiztimebegin,fbiztimeend,fsettlecurrencyid,fsettletypeid,fcomment,finvoicebiztypeid,ftotalamount,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,fbillcretype,fsrcsys,fsrcbillid,fsrcbillnumber,frelatedcontid,fsrcbillentity,fuserid,fdeptid,fconmprop,fprojectid,fmodelcontractid,fchangestatus,fisrenew,fispreview,fmodiflevel,fchangerid,fchangedate,fsubversion,fversion,fcontform,fistax,ftaxrateid,ftaxrate,ftotaltaxamount,ftotalallamount,fsrcsysbillid,fsrcsysbillno,fuppertotalallamount,fcancelreason,fclosereason,fsignmodel,flastupdateuserid,flastupdatetime,fmainpartamount,fpatype,fpartaid,fpaacrmlink,fpbtype,fpartbid,fpbacrmlink,fpctype,fpartcid,fpcacrmlink,fpdtype,fpartdid,fpdacrmlink,fselfposition,fdynfieldstr,fdynfieldstr_tag,forgscope,fispayrate,fpartaname,fpartbname,fpartcname,fpartdname,fiscomptaxrate,fsettleorgid,fsigntaxamount,fsignamount,fsignallamount,fuppersignallamount,famdsourcebillid,fcontstatus11,fcontstatus21,fk_wd57_billno,fk_wd57_contstatus,fcontstatus
22,,,HT2024000022,服务合作合同-启迪设计集团股份有限公司,,C,2025-03-28,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,3,,mscon_counterpart,9,,,,,,,,,,,,1,中建西部建设股份有限公司,启迪设计集团股份有限公司,,,1,,0E-10,0E-10,20484426.0,,,A,A,,A,COMPLETED
23,,,HT2024000023,建材采购合同-上海振华重工(集团)股份有限公司,,C,2024-12-21,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,17,,bd_supplier,12,,,,,,,,,,,,1,珠海华发实业股份有限公司,上海振华重工(集团)股份有限公司,,,1,,0E-10,0E-10,8486756.0,,,A,A,,A,COMPLETED
24,,,HT2024000024,建材采购合同-中国北方稀土(集团)高科技股份有限公司,,C,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,17,,bd_supplier,5,,,,,,,,,,,,1,国家能源投资集团有限责任公司,中国北方稀土(集团)高科技股份有限公司,,,1,,0E-10,0E-10,31990947.0,,,A,A,,A,COMPLETED
25,,,HT2024000025,循环交易合同-万科企业股份有限公司至中国交通建设股份有限公司,,C,2025-04-24,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,11,,bd_customer,4,,,,,,,,,,,,1,万科企业股份有限公司,中国交通建设股份有限公司,,,1,,0E-10,0E-10,41504682.0,,,A,A,,A,COMPLETED
26,,,HT2024000026,建材采购合同-福耀玻璃工业集团股份有限公司,,C,2025-07-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,12,,bd_supplier,28,,,,,,,,,,,,1,保利发展控股集团股份有限公司,福耀玻璃工业集团股份有限公司,,,1,,0E-10,0E-10,23930751.0,,,A,A,,A,EXECUTING
27,,,HT2024000027,建材采购合同-东方电气股份有限公司,,C,2025-10-24,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,25,,bd_supplier,17,,,,,,,,,,,,1,北京首都开发股份有限公司,东方电气股份有限公司,,,1,,0E-10,0E-10,46043614.0,,,A,A,,A,COMPLETED
28,,,HT2024000028,服务合作合同-海波重型工程科技股份有限公司,,C,2025-04-20,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,10,,mscon_counterpart,8,,,,,,,,,,,,1,中国石油天然气股份有限公司,海波重型工程科技股份有限公司,,,1,,0E-10,0E-10,6848549.0,,,A,A,,A,EXECUTING
29,,,HT2024000029,建材采购合同-万华化学集团股份有限公司,,C,2025-01-23,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,15,,bd_supplier,30,,,,,,,,,,,,1,绿地控股集团股份有限公司,万华化学集团股份有限公司,,,1,,0E-10,0E-10,6125396.0,,,A,A,,A,EXECUTING
30,,,HT2024000030,服务合作合同-深圳市建筑科学研究院股份有限公司,,C,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,12,,mscon_counterpart,5,,,,,,,,,,,,1,中国石油集团资本股份有限公司,深圳市建筑科学研究院股份有限公司,,,1,,0E-10,0E-10,12211274.0,,,A,A,,A,COMPLETED
31,,,HT2024000031,建材采购合同-中国铝业股份有限公司,,C,2025-05-24,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,1,,bd_supplier,2,,,,,,,,,,,,1,中国建筑集团有限公司,中国铝业股份有限公司,,,1,,0E-10,0E-10,12379715.0,,,A,A,,A,EXECUTING
32,,,HT2024000032,循环交易合同-国家电网有限公司至珠海华发实业股份有限公司,,C,2025-07-14,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,5,,bd_customer,17,,,,,,,,,,,,1,国家电网有限公司,珠海华发实业股份有限公司,,,1,,0E-10,0E-10,47856538.0,,,A,A,,A,EXECUTING
33,,,HT2024000033,循环交易合同-深圳华侨城股份有限公司至珠海华发实业股份有限公司,,C,2025-02-09,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,14,,bd_customer,17,,,,,,,,,,,,1,深圳华侨城股份有限公司,珠海华发实业股份有限公司,,,1,,0E-10,0E-10,20733034.0,,,A,A,,A,EXECUTING
34,,,HT2024000034,循环交易合同-中国石油天然气集团有限公司至中国交通建设股份有限公司,,C,2025-07-17,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,9,,bd_customer,4,,,,,,,,,,,,1,中国石油天然气集团有限公司,中国交通建设股份有限公司,,,1,,0E-10,0E-10,42285448.0,,,A,A,,A,COMPLETED
35,,,HT2024000035,服务合作合同-启迪设计集团股份有限公司,,C,2025-03-01,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,20,,mscon_counterpart,9,,,,,,,,,,,,1,珠海珠免集团股份有限公司,启迪设计集团股份有限公司,,,1,,0E-10,0E-10,6959933.0,,,A,A,,A,EXECUTING
36,,,HT2024000036,服务合作合同-中工国际工程股份有限公司,,C,2024-12-16,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,20,,mscon_counterpart,3,,,,,,,,,,,,1,龙源电力集团股份有限公司,中工国际工程股份有限公司,,,1,,0E-10,0E-10,34589155.0,,,A,A,,A,EXECUTING
37,,,HT2024000037,建材采购合同-中国振华(集团)科技股份有限公司,,C,2025-09-17,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,26,,bd_supplier,29,,,,,,,,,,,,1,南京栖霞建设股份有限公司,中国振华(集团)科技股份有限公司,,,1,,0E-10,0E-10,46083156.0,,,A,A,,A,EXECUTING
38,,,HT2024000038,服务合作合同-河北中瓷电子科技股份有限公司,,C,2025-09-26,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,13,,mscon_counterpart,10,,,,,,,,,,,,1,招商局蛇口工业区控股股份有限公司,河北中瓷电子科技股份有限公司,,,1,,0E-10,0E-10,3365261.0,,,A,A,,A,EXECUTING
39,,,HT2024000039,建材采购合同-永兴特种材料科技股份有限公司,,C,2025-02-15,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,3,,bd_supplier,25,,,,,,,,,,,,1,中国中铁股份有限公司,永兴特种材料科技股份有限公司,,,1,,0E-10,0E-10,17447124.0,,,A,A,,A,EXECUTING
40,,,HT2024000040,服务合作合同-河北中瓷电子科技股份有限公司,,C,2025-06-16,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,29,,mscon_counterpart,10,,,,,,,,,,,,1,北京万通新发展集团股份有限公司,河北中瓷电子科技股份有限公司,,,1,,0E-10,0E-10,38276702.0,,,A,A,,A,COMPLETED
41,,,HT2024000041,建材采购合同-特变电工股份有限公司,,C,2025-06-02,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,21,,bd_supplier,11,,,,,,,,,,,,1,华夏幸福基业股份有限公司,特变电工股份有限公司,,,1,,0E-10,0E-10,37054676.0,,,A,A,,A,COMPLETED
42,,,HT2024000042,建材采购合同-北京东方雨虹防水技术股份有限公司,,C,2024-12-16,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,29,,bd_supplier,21,,,,,,,,,,,,1,北京万通新发展集团股份有限公司,北京东方雨虹防水技术股份有限公司,,,1,,0E-10,0E-10,13245858.0,,,A,A,,A,COMPLETED
43,,,HT2024000043,建材采购合同-国电南瑞科技股份有限公司,,C,2025-09-05,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,7,,bd_supplier,18,,,,,,,,,,,,1,国网信息通信股份有限公司,国电南瑞科技股份有限公司,,,1,,0E-10,0E-10,15666248.0,,,A,A,,A,COMPLETED
44,,,HT2024000044,循环交易合同-中国建筑集团有限公司至中国交通建设股份有限公司,,C,2025-11-05,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,1,,bd_customer,4,,,,,,,,,,,,1,中国建筑集团有限公司,中国交通建设股份有限公司,,,1,,0E-10,0E-10,31870131.0,,,A,A,,A,COMPLETED
45,,,HT2024000045,循环交易合同-国电电力发展股份有限公司至杭州滨江房产集团股份有限公司,,C,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,19,,bd_customer,22,,,,,,,,,,,,1,国电电力发展股份有限公司,杭州滨江房产集团股份有限公司,,,1,,0E-10,0E-10,13750999.0,,,A,A,,A,COMPLETED
46,,,HT2024000046,服务合作合同-河南省中工设计研究院集团股份有限公司,,C,2025-07-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,9,,mscon_counterpart,6,,,,,,,,,,,,1,中国石油天然气集团有限公司,河南省中工设计研究院集团股份有限公司,,,1,,0E-10,0E-10,48526266.0,,,A,A,,A,EXECUTING
47,,,HT2024000047,循环交易合同-中国冶金科工股份有限公司至上海陆家嘴金融贸易区开发股份有限公司,,C,2024-12-11,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,5,,bd_customer,27,,,,,,,,,,,,1,中国冶金科工股份有限公司,上海陆家嘴金融贸易区开发股份有限公司,,,1,,0E-10,0E-10,16328447.0,,,A,A,,A,COMPLETED
48,,,HT2024000048,循环交易合同-中国建筑股份有限公司至珠海珠免集团股份有限公司,,C,2025-01-11,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,1,,bd_customer,20,,,,,,,,,,,,1,中国建筑股份有限公司,珠海珠免集团股份有限公司,,,1,,0E-10,0E-10,30967638.0,,,A,A,,A,COMPLETED
49,,,HT2024000049,循环交易合同-中国交通建设股份有限公司至苏宁环球股份有限公司,,C,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,4,,bd_customer,28,,,,,,,,,,,,1,中国交通建设股份有限公司,苏宁环球股份有限公司,,,1,,0E-10,0E-10,42505660.0,,,A,A,,A,EXECUTING
50,,,HT2024000050,建材采购合同-中国振华(集团)科技股份有限公司,,C,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,17,,bd_supplier,29,,,,,,,,,,,,1,国家能源投资集团有限责任公司,中国振华(集团)科技股份有限公司,,,1,,0E-10,0E-10,33616243.0,,,A,A,,A,EXECUTING
51,,,HT2024000051,建材采购合同-福建三钢闽光股份有限公司,,C,2025-09-21,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,6,,bd_supplier,27,,,,,,,,,,,,1,中国电力建设股份有限公司,福建三钢闽光股份有限公司,,,1,,0E-10,0E-10,33948180.0,,,A,A,,A,COMPLETED
52,,,HT2024000052,循环交易合同-国家能源投资集团有限责任公司至衢州信安发展股份有限公司,,C,2025-02-09,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,17,,bd_customer,19,,,,,,,,,,,,1,国家能源投资集团有限责任公司,衢州信安发展股份有限公司,,,1,,0E-10,0E-10,31561745.0,,,A,A,,A,EXECUTING
53,,,HT2024000053,建材采购合同-紫金矿业集团股份有限公司,,C,2025-03-19,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,19,,bd_supplier,3,,,,,,,,,,,,1,国电电力发展股份有限公司,紫金矿业集团股份有限公司,,,1,,0E-10,0E-10,40623106.0,,,A,A,,A,EXECUTING
54,,,HT2024000054,循环交易合同-中国中车股份有限公司至北京万通新发展集团股份有限公司,,C,2024-11-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,10,,bd_customer,29,,,,,,,,,,,,1,中国中车股份有限公司,北京万通新发展集团股份有限公司,,,1,,0E-10,0E-10,11896077.0,,,A,A,,A,EXECUTING
55,,,HT2024000055,循环交易合同-中国中车集团有限公司至恒大地产集团有限公司,,C,2025-06-28,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,13,,bd_customer,30,,,,,,,,,,,,1,中国中车集团有限公司,恒大地产集团有限公司,,,1,,0E-10,0E-10,45118611.0,,,A,A,,A,COMPLETED
56,,,HT2024000056,建材采购合同-宝山钢铁股份有限公司,,C,2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,3,,bd_supplier,1,,,,,,,,,,,,1,中国中铁股份有限公司,宝山钢铁股份有限公司,,,1,,0E-10,0E-10,47915328.0,,,A,A,,A,EXECUTING
57,,,HT2024000057,服务合作合同-华东建筑集团股份有限公司,,C,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,7,,mscon_counterpart,1,,,,,,,,,,,,1,国网信息通信股份有限公司,华东建筑集团股份有限公司,,,1,,0E-10,0E-10,36978712.0,,,A,A,,A,COMPLETED
58,,,HT2024000058,循环交易合同-苏宁环球股份有限公司至金科地产集团股份有限公司,,C,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,28,,bd_customer,23,,,,,,,,,,,,1,苏宁环球股份有限公司,金科地产集团股份有限公司,,,1,,0E-10,0E-10,8873829.0,,,A,A,,A,COMPLETED
59,,,HT2024000059,建材采购合同-中国北方稀土(集团)高科技股份有限公司,,C,2024-12-06,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,24,,bd_supplier,5,,,,,,,,,,,,1,金融街控股股份有限公司,中国北方稀土(集团)高科技股份有限公司,,,1,,0E-10,0E-10,19752730.0,,,A,A,,A,COMPLETED
60,,,HT2024000060,循环交易合同-国电电力发展股份有限公司至万科企业股份有限公司,,C,2025-09-11,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,19,,bd_customer,11,,,,,,,,,,,,1,国电电力发展股份有限公司,万科企业股份有限公司,,,1,,0E-10,0E-10,15098380.0,,,A,A,,A,EXECUTING
61,,,HT2024000061,建材采购合同-浙江久立特材科技股份有限公司,,C,2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,3,,bd_supplier,24,,,,,,,,,,,,1,中国中铁股份有限公司,浙江久立特材科技股份有限公司,,,1,,0E-10,0E-10,23578613.0,,,A,A,,A,COMPLETED
62,,,HT2024000062,服务合作合同-华东建筑集团股份有限公司,,C,2025-03-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,1,,mscon_counterpart,1,,,,,,,,,,,,1,中国建筑集团有限公司,华东建筑集团股份有限公司,,,1,,0E-10,0E-10,46151121.0,,,A,A,,A,EXECUTING
63,,,HT2024000063,建材采购合同-中国振华(集团)科技股份有限公司,,C,2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,11,,bd_supplier,29,,,,,,,,,,,,1,万科企业股份有限公司,中国振华(集团)科技股份有限公司,,,1,,0E-10,0E-10,2210275.0,,,A,A,,A,EXECUTING
64,,,HT2024000064,服务合作合同-深圳市建筑科学研究院股份有限公司,,C,2025-01-04,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,17,,mscon_counterpart,5,,,,,,,,,,,,1,国家能源投资集团有限责任公司,深圳市建筑科学研究院股份有限公司,,,1,,0E-10,0E-10,30612164.0,,,A,A,,A,COMPLETED
