node_id,node_type,name,number,legal_person,credit_code,establish_date,status,description
SUP_011,Company,中天建筑材料,SUP0011,陈伟,991460743032405,,C,建筑材料、机械设备销售
SUP_012,Company,恒泰机电设备,SUP0012,黄秀英,487879140390058,,C,建筑材料、机械设备销售
SUP_013,Company,华强电力设备,SUP0013,张明,934150515559717,,C,建筑材料、机械设备销售
SUP_014,Company,鼎盛建筑器材,SUP0014,张涛,344199306695797,,C,建筑材料、机械设备销售
SUP_015,Company,新世纪建材,SUP0015,周杰,813032092124953,,C,建筑材料、机械设备销售
SUP_016,Company,联创机械制造,SUP0016,徐军,843871766237454,,C,建筑材料、机械设备销售
SUP_017,Company,远大建筑材料,SUP0017,高涛,176082159585724,,C,建筑材料、机械设备销售
SUP_018,Company,兴业钢铁贸易,SUP0018,张涛,345222421859423,,C,建筑材料、机械设备销售
SUP_019,Company,诚信建材批发,SUP0019,高洋,237836243004849,,C,建筑材料、机械设备销售
SUP_020,Company,宏达机电设备,SUP0020,赵平,128195055372343,,C,建筑材料、机械设备销售
SUP_021,Company,锦绣建筑材料,SUP0021,陈伟,206395184164716,,C,建筑材料、机械设备销售
SUP_022,Company,腾飞机械设备,SUP0022,周艳,124646668677497,,C,建筑材料、机械设备销售
SUP_023,Company,盛世建材集团,SUP0023,张洋,714206187942032,,C,建筑材料、机械设备销售
SUP_024,Company,华美电气设备,SUP0024,罗静,743418828857453,,C,建筑材料、机械设备销售
SUP_025,Company,金鼎建筑器材,SUP0025,吴丽,961378213056847,,C,建筑材料、机械设备销售
SUP_026,Company,瑞祥机电设备,SUP0026,陈秀英,316217129141859,,C,建筑材料、机械设备销售
SUP_027,Company,天宇建材供应,SUP0027,周芳,846268528370962,,C,建筑材料、机械设备销售
SUP_028,Company,博瑞工程设备,SUP0028,黄杰,725242132062471,,C,建筑材料、机械设备销售
SUP_029,Company,鑫达建筑材料,SUP0029,赵强,765637629899447,,C,建筑材料、机械设备销售
SUP_030,Company,恒信机械设备,SUP0030,黄洋,640136434520984,,C,建筑材料、机械设备销售
CUS_001,Company,华润置地发展,CUS0001,刘涛,201095851111474,,C,房地产开发、物业管理
CUS_002,Company,万科房地产,CUS0002,赵芳,366619820349710,,C,房地产开发、物业管理
CUS_003,Company,碧桂园地产,CUS0003,张平,130058004611267,,C,房地产开发、物业管理
CUS_004,Company,恒大地产集团,CUS0004,李勇,781738464461600,,C,房地产开发、物业管理
CUS_005,Company,融创中国地产,CUS0005,吴伟,341537817954606,,C,房地产开发、物业管理
CUS_006,Company,保利发展控股,CUS0006,刘超,754743113902975,,C,房地产开发、物业管理
CUS_007,Company,中海地产集团,CUS0007,孙静,640394357031946,,C,房地产开发、物业管理
CUS_008,Company,龙湖地产,CUS0008,罗艳,973702670078560,,C,房地产开发、物业管理
CUS_009,Company,绿地控股集团,CUS0009,徐洋,609701831403258,,C,房地产开发、物业管理
CUS_010,Company,世茂房地产,CUS0010,陈军,725796650449112,,C,房地产开发、物业管理
CUS_011,Company,金地集团,CUS0011,张芳,381737929257872,,C,房地产开发、物业管理
CUS_012,Company,招商蛇口,CUS0012,王超,462037549589645,,C,房地产开发、物业管理
CUS_013,Company,华夏幸福基业,CUS0013,王敏,698067273909071,,C,房地产开发、物业管理
CUS_014,Company,新城控股,CUS0014,陈静,668269150122800,,C,房地产开发、物业管理
CUS_015,Company,阳光城集团,CUS0015,何静,400746012183601,,C,房地产开发、物业管理
CUS_016,Company,旭辉控股,CUS0016,朱艳,501133560400291,,C,房地产开发、物业管理
CUS_017,Company,中南置地,CUS0017,吴伟,788006451056594,,C,房地产开发、物业管理
CUS_018,Company,正荣地产,CUS0018,罗芳,663894150986498,,C,房地产开发、物业管理
CUS_019,Company,禹洲集团,CUS0019,胡超,603137718520662,,C,房地产开发、物业管理
CUS_020,Company,佳兆业集团,CUS0020,陈磊,336039921019197,,C,房地产开发、物业管理
CUS_021,Company,远洋地产,CUS0021,陈明,644333735076818,,C,房地产开发、物业管理
CUS_022,Company,金科地产,CUS0022,胡静,377502264305036,,C,房地产开发、物业管理
CUS_023,Company,荣盛发展,CUS0023,刘杰,270970571843440,,C,房地产开发、物业管理
CUS_024,Company,泰禾集团,CUS0024,郭强,424469310442610,,C,房地产开发、物业管理
CUS_025,Company,富力地产,CUS0025,张平,585419948914253,,C,房地产开发、物业管理
CUS_026,Company,雅居乐地产,CUS0026,郭磊,823007609859625,,C,房地产开发、物业管理
CUS_027,Company,合景泰富,CUS0027,吴涛,652842030598250,,C,房地产开发、物业管理
CUS_028,Company,奥园集团,CUS0028,黄霞,316463445637653,,C,房地产开发、物业管理
CUS_029,Company,花样年控股,CUS0029,黄涛,109695723380757,,C,房地产开发、物业管理
CUS_030,Company,当代置业,CUS0030,王磊,171827271396922,,C,房地产开发、物业管理
CP_001,Company,中建设计研究院,CP0001,陈明,,,C,工程咨询、技术服务
CP_002,Company,华东工程监理,CP0002,胡静,,,C,工程咨询、技术服务
CP_003,Company,建筑质量检测中心,CP0003,刘杰,,,C,工程咨询、技术服务
CP_004,Company,工程造价咨询,CP0004,郭强,,,C,工程咨询、技术服务
CP_005,Company,建筑安全评估,CP0005,张平,,,C,工程咨询、技术服务
CP_006,Company,环境影响评价,CP0006,郭磊,,,C,工程咨询、技术服务
CP_007,Company,工程测绘服务,CP0007,吴涛,,,C,工程咨询、技术服务
CP_008,Company,建筑法律咨询,CP0008,黄霞,,,C,工程咨询、技术服务
CP_009,Company,工程保险代理,CP0009,黄涛,,,C,工程咨询、技术服务
CP_010,Company,建筑金融服务,CP0010,王磊,,,C,工程咨询、技术服务
